#Model	Child,Father,Mother(GT)	Autosomal/PAR	X-chrMale	X-chrFemale
dominant	(1,0,0)	True	True	True
dominant	(1,0,1)	True	True	True
dominant	(1,0,2)	True	True	True
dominant	(1,1,0)	True	True	True
dominant	(1,1,1)	True	True	True
dominant	(1,1,2)	True	True	True
dominant	(1,2,0)	True	True	True
dominant	(1,2,1)	True	True	True
dominant	(1,2,2)	True	True	True
recessive	(2,0,0)	True	True	True
recessive	(2,0,1)	True	True	True
recessive	(2,0,2)	True	True	True
recessive	(2,1,0)	True	True	True
recessive	(2,1,1)	True	True	True
recessive	(2,1,2)	True	True	True
recessive	(2,2,0)	True	True	True
recessive	(2,2,1)	True	True	True
recessive	(2,2,2)	True	True	True
recessiveCompoundHet	((1,0,1),(1,1,0))	True	True	True
recessiveCompoundHet	((1,0,1),(1,2,0))	True	True	True
recessiveCompoundHet	((1,0,2),(1,2,0))	True	True	True
