#Model	Child,Mother,Father(GT)	autosomal/PAR	XChrMale	XChrFemale
dominant	(1,0,0)	False	False	False
dominant	(1,0,1)	False	False	False
dominant	(1,0,2)	False	False	False
dominant	(1,1,0)	False	False	True
dominant	(1,1,1)	False	False	False
dominant	(1,1,2)	False	False	False
dominant	(1,2,0)	False	False	False
dominant	(1,2,1)	False	False	False
dominant	(1,2,2)	False	False	False
recessive	(2,0,0)	False	False	False
recessive	(2,0,1)	False	False	False
recessive	(2,0,2)	False	False	False
recessive	(2,1,0)	False	True	False
recessive	(2,1,1)	True	False	False
recessive	(2,1,2)	False	False	False
recessive	(2,2,0)	False	False	False
recessive	(2,2,1)	False	False	False
recessive	(2,2,2)	False	False	False
recessiveCompoundHet	((1,1,0),(1,0,1))	True	False	False
recessiveCompoundHet	((1,1,0),(1,0,2))	False	False	False
recessiveCompoundHet	((1,2,0),(1,0,2))	False	False	False
