#model	parents_affected_status	trio_genotype (child,mother,father)	autosomal/PAR	XChrMale	XChrFemale	notes
dominant	parents_unaffected	(1,0,0)	True	False	True	# include de novo events
dominant	parents_unaffected	(1,0,1)	False	False	False	
dominant	parents_unaffected	(1,0,2)	False	False	False	
dominant	parents_unaffected	(1,1,0)	False	False	True	# possible due to X inactivation
dominant	parents_unaffected	(1,1,1)	False	False	False	
dominant	parents_unaffected	(1,1,2)	False	False	False	
dominant	parents_unaffected	(1,2,0)	False	False	False	
dominant	parents_unaffected	(1,2,1)	False	False	False	
dominant	parents_unaffected	(1,2,2)	False	False	False	
recessive	parents_unaffected	(2,0,0)	False	True	False	# include de novo events
recessive	parents_unaffected	(2,0,1)	False	False	False	
recessive	parents_unaffected	(2,0,2)	False	False	False	
recessive	parents_unaffected	(2,1,0)	False	True	False	
recessive	parents_unaffected	(2,1,1)	True	False	False	
recessive	parents_unaffected	(2,1,2)	False	False	False	
recessive	parents_unaffected	(2,2,0)	False	False	False	
recessive	parents_unaffected	(2,2,1)	False	False	False	
recessive	parents_unaffected	(2,2,2)	False	False	False	
recessiveCompoundHet	parents_unaffected	((1,1,0),(1,0,1))	True	False	False	
recessiveCompoundHet	parents_unaffected	((1,0,0),(1,0,1))	True	False	False		
recessiveCompoundHet	parents_unaffected	((1,0,1),(1,1,1))	True	False	False	
recessiveCompoundHet	parents_unaffected	((1,1,0),(1,1,1))	True	False	False	
recessiveCompoundHet	parents_unaffected	((1,1,1),(1,1,1))	True	False	False	
recessiveCompoundHet	parents_unaffected	((1,1,0),(1,0,2))	False	False	False	
recessiveCompoundHet	parents_unaffected	((1,2,0),(1,0,2))	False	False	False	
dominant	mother_affected	(1,0,0)	True	False	False	
dominant	mother_affected	(1,0,1)	True	False	False	
dominant	mother_affected	(1,0,2)	False	False	False	
dominant	mother_affected	(1,1,0)	True	False	True	
dominant	mother_affected	(1,1,1)	False	False	False	
dominant	mother_affected	(1,1,2)	False	False	False	
dominant	mother_affected	(1,2,0)	True	False	True	# flag autosomal and XChrFemale as a research finding, since we don't know if this is recessive, or dominant
dominant	mother_affected	(1,2,1)	False	False	False	
dominant	mother_affected	(1,2,2)	False	False	False	
recessive	mother_affected	(2,0,0)	False	False	False	
recessive	mother_affected	(2,0,1)	False	False	False	
recessive	mother_affected	(2,0,2)	False	False	False	
recessive	mother_affected	(2,1,0)	False	True	False	
recessive	mother_affected	(2,1,1)	True	False	False	
recessive	mother_affected	(2,1,2)	False	False	False	
recessive	mother_affected	(2,2,0)	False	True	False	
recessive	mother_affected	(2,2,1)	True	False	False	
recessive	mother_affected	(2,2,2)	False	False	False	
recessiveCompoundHet	mother_affected	((1,1,0),(1,0,1))	True	False	False	
recessiveCompoundHet	mother_affected	((1,1,0),(1,0,2))	False	False	False	
recessiveCompoundHet	mother_affected	((1,2,0),(1,0,2))	False	False	False	
dominant	father_affected	(1,0,0)	True	False	False	
dominant	father_affected	(1,0,1)	True	False	False	
dominant	father_affected	(1,0,2)	True	False	True	# flag autosomal as a research finding, since we don't know if this is recessive, or dominant
dominant	father_affected	(1,1,0)	False	False	False	
dominant	father_affected	(1,1,1)	False	False	False	
dominant	father_affected	(1,1,2)	False	False	False	
dominant	father_affected	(1,2,0)	False	False	False	
dominant	father_affected	(1,2,1)	False	False	False	
dominant	father_affected	(1,2,2)	False	False	False	
recessive	father_affected	(2,0,0)	False	False	False	
recessive	father_affected	(2,0,1)	False	False	False	
recessive	father_affected	(2,0,2)	False	False	False	
recessive	father_affected	(2,1,0)	False	False	False	
recessive	father_affected	(2,1,1)	True	False	False	
recessive	father_affected	(2,1,2)	True	False	True	
recessive	father_affected	(2,2,0)	False	False	False	
recessive	father_affected	(2,2,1)	False	False	False	
recessive	father_affected	(2,2,2)	False	False	False	
recessiveCompoundHet	father_affected	((1,1,0),(1,0,1))	True	False	False	
recessiveCompoundHet	father_affected	((1,1,0),(1,0,2))	False	False	False	
recessiveCompoundHet	father_affected	((1,2,0),(1,0,2))	False	False	False	
dominant	both_parents_affected	(1,0,0)	False	False	False	
dominant	both_parents_affected	(1,0,1)	True	False	False	
dominant	both_parents_affected	(1,0,2)	False	False	False	
dominant	both_parents_affected	(1,1,0)	True	False	False	
dominant	both_parents_affected	(1,1,1)	True	False	False	
dominant	both_parents_affected	(1,1,2)	True	False	True	
dominant	both_parents_affected	(1,2,0)	False	False	False	
dominant	both_parents_affected	(1,2,1)	True	False	False	
dominant	both_parents_affected	(1,2,2)	False	False	False	
recessive	both_parents_affected	(2,0,0)	False	False	False	
recessive	both_parents_affected	(2,0,1)	False	False	False	
recessive	both_parents_affected	(2,0,2)	False	False	False	
recessive	both_parents_affected	(2,1,0)	False	False	False	
recessive	both_parents_affected	(2,1,1)	True	False	False	
recessive	both_parents_affected	(2,1,2)	True	True	True	
recessive	both_parents_affected	(2,2,0)	False	False	False	
recessive	both_parents_affected	(2,2,1)	True	False	False	
recessive	both_parents_affected	(2,2,2)	True	True	False	
recessiveCompoundHet	both_parents_affected	((1,1,0),(1,0,1))	True	False	False	
recessiveCompoundHet	both_parents_affected	((1,1,0),(1,0,2))	False	False	False	
recessiveCompoundHet	both_parents_affected	((1,2,0),(1,0,2))	False	False	False	
