Input	Match type	Approved symbol	Approved name	HGNC ID	Location
CDH3	Previous symbol	CDH15	cadherin 15, type 1, M-cadherin (myotubule)	HGNC:1754	16q24.3
DLG3	Previous symbol	MPP3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	HGNC:7221	17q12-q21
ERF	Previous symbol	ETF1	eukaryotic translation termination factor 1	HGNC:3477	5q31.2
GRIK2	Previous symbol	GRIK5	glutamate receptor, ionotropic, kainate 5	HGNC:4583	19q13.2
GTDC2	Previous symbol	POMGNT2	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	HGNC:25902	3p22.1
INPP5E	Previous symbol	PMPCA	peptidase (mitochondrial processing) alpha	HGNC:18667	9q34.3
LTBP2	Previous symbol	LTBP3	latent transforming growth factor beta binding protein 3	HGNC:6716	11q12
MLL	Previous symbol	KMT2A	lysine (K)-specific methyltransferase 2A	HGNC:7132	11q23
MLL2	Previous symbol	KMT2D	lysine (K)-specific methyltransferase 2D	HGNC:7133	12q13.12
MTTP	Previous symbol	MT-TP	mitochondrially encoded tRNA proline	HGNC:7494	mitochondria
PTPRQ	Previous symbol	PTPRR	protein tyrosine phosphatase, receptor type, R	HGNC:9680	12q15
SLC6A5	Previous symbol	SLC6A2	solute carrier family 6 (neurotransmitter transporter), member 2	HGNC:11048	16q12.2
TCF4	Previous symbol	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	HGNC:11641	10q25.3
WDR11	Previous symbol	PHIP	pleckstrin homology domain interacting protein	HGNC:15673	6q14
